리뷰내용,별점,작성일,제품명,카테고리
"방수 기능 덕분에 수영할 때도 차고 있습니다. 만족합니다.",5,2026-06-16,스마트워치 FitPro,웨어러블
"연결이 가끔 끊깁니다. 재페어링하면 되지만 번거로워요.",2,2026-06-16,무선 이어폰 X200,전자기기
"왼쪽 유닛만 소리가 작습니다. 불량인 것 같아 교환 요청했습니다.",1,2026-06-17,무선 이어폰 X200,전자기기
"고객센터 연결이 30분 넘게 안 됩니다. 답답합니다.",1,2026-06-17,무선 이어폰 X200,전자기기
"터치 조작이 민감해서 머리 넘길 때마다 곡이 바뀝니다.",2,2026-06-18,무선 이어폰 X200,전자기기
"먼지통이 작아서 이틀에 한 번은 비워야 합니다.",3,2026-06-18,로봇청소기 CleanBot,가전
"카펫 위에서는 자꾸 멈춥니다. 마루에서만 쓸만해요.",2,2026-06-19,로봇청소기 CleanBot,가전
"충전 도크로 스스로 복귀를 못 하는 경우가 잦습니다.",2,2026-06-19,로봇청소기 CleanBot,가전
"모서리 청소는 기대하지 마세요. 결국 손걸레질이 필요합니다.",3,2026-06-20,로봇청소기 CleanBot,가전
"상판에 스크래치가 있는 상태로 왔습니다. 포장이 부실했어요.",2,2026-06-20,스탠딩 데스크 프로,가구
"높이 조절 버튼이 뻑뻑해졌습니다. 두 달 만에 이러면 곤란하죠.",2,2026-06-21,스탠딩 데스크 프로,가구
"무게가 상당해서 혼자 옮기기 어렵습니다. 배치 신중히 하세요.",3,2026-06-21,스탠딩 데스크 프로,가구
"뚜껑에서 물이 샙니다. 사용할 때마다 닦아야 해서 번거로워요.",2,2026-06-22,휴대용 블렌더 미니,주방
"배터리가 다섯 번 쓰면 방전됩니다. 광고랑 다릅니다.",2,2026-06-22,휴대용 블렌더 미니,주방
"충전 단자가 구형 마이크로 5핀이라 아쉽습니다.",3,2026-06-23,휴대용 블렌더 미니,주방
"알림이 자주 밀립니다. 카톡이 3분 뒤에 뜰 때도 있어요.",2,2026-06-23,스마트워치 FitPro,웨어러블
"스트랩 고무가 한 달 만에 갈라졌습니다. 품질이 아쉽네요.",2,2026-06-24,스마트워치 FitPro,웨어러블
"업데이트 후에 배터리가 훨씬 빨리 닳습니다.",2,2026-06-24,스마트워치 FitPro,웨어러블
"전반적으로 기대 이하입니다. 가격 대비 성능이 아쉬워요.",2,2026-06-25,스마트워치 FitPro,웨어러블
"포장을 열었을 때 이어폰에 지문이 잔뜩 묻어 있었습니다. 반품인가 싶었어요.",2,2026-06-25,무선 이어폰 X200,전자기기
"이 정도면 훌륭합니다. 지인에게도 추천했어요.",5,2026-06-26,무선 이어폰 X200,전자기기
"통화 품질이 좋아서 회의용으로 잘 쓰고 있습니다.",4,2026-06-26,무선 이어폰 X200,전자기기
"음량 조절 단계가 세밀해서 좋습니다.",4,2026-06-27,무선 이어폰 X200,전자기기
"청소 예약 기능이 편리합니다. 출근하면 알아서 돌아가요.",5,2026-06-27,로봇청소기 CleanBot,가전
"필터 교체 주기 알림이 유용합니다.",4,2026-06-28,로봇청소기 CleanBot,가전
"반려동물 털도 잘 빨아들여서 만족합니다.",5,2026-06-28,로봇청소기 CleanBot,가전
"케이블 정리 홀이 있어서 책상이 깔끔해집니다.",4,2026-06-29,스탠딩 데스크 프로,가구
"메모리 높이 저장 기능을 매일 씁니다. 없으면 불편할 것 같아요.",5,2026-06-29,스탠딩 데스크 프로,가구
"허리 통증이 줄어서 만족합니다. 진작 살걸 그랬어요.",5,2026-06-30,스탠딩 데스크 프로,가구
"작동 소리가 조용하고 진동도 적습니다.",4,2026-06-30,휴대용 블렌더 미니,주방
"색상이 사진과 거의 같아서 마음에 듭니다.",4,2026-07-01,휴대용 블렌더 미니,주방
"텀블러 겸용이라 운동 갈 때 그대로 들고 갑니다.",5,2026-07-01,휴대용 블렌더 미니,주방
"걸음 수 측정이 정확한 편입니다. 만보기로 충분히 쓸만해요.",4,2026-07-02,스마트워치 FitPro,웨어러블
"문자 답장이 시계에서 바로 되는 게 편합니다.",4,2026-07-02,스마트워치 FitPro,웨어러블
"디자인이 무난해서 정장에도 어울립니다.",4,2026-07-03,스마트워치 FitPro,웨어러블
"가성비 최고입니다. 이 가격에 이 정도면 훌륭해요.",5,2026-07-03,무선 이어폰 X200,전자기기
"두 번째 구매입니다. 첫 제품이 만족스러워서 선물용으로 샀어요.",5,2026-07-04,무선 이어폰 X200,전자기기
"배송이 너무 늦어요. 일주일 넘게 기다렸는데 안내 문자 한 통 없었습니다.",2,2026-07-06,무선 이어폰 X200,전자기기
"주문한 지 9일 만에 도착했습니다. 배송 지연 안내가 전혀 없어서 답답했어요.",1,2026-07-06,로봇청소기 CleanBot,가전
"배송 지연으로 선물 날짜를 놓쳤습니다. 최악입니다.",1,2026-07-07,스마트워치 FitPro,웨어러블
"택배가 엉뚱한 주소로 갔습니다. 오배송 처리에 또 3일이 걸렸어요.",1,2026-07-07,휴대용 블렌더 미니,주방
"물류 문제라고만 하고 정확한 도착일을 안 알려줍니다.",2,2026-07-08,스탠딩 데스크 프로,가구
"제품 불량입니다. 전원이 아예 안 들어옵니다.",1,2026-07-08,로봇청소기 CleanBot,가전
"박스가 찌그러진 채로 왔고 내용물도 흠집이 있습니다. 포장 상태가 심각해요.",1,2026-07-09,스탠딩 데스크 프로,가구
"고객센터에 5번 전화했는데 전부 대기 후 끊겼습니다. 응대가 최악이에요.",1,2026-07-09,무선 이어폰 X200,전자기기
"교환 신청했는데 2주째 연락이 없습니다. 고객센터 응대가 너무 느려요.",1,2026-07-10,스마트워치 FitPro,웨어러블
"상담원이 불친절하게 말을 끊습니다. 다시는 구매 안 합니다.",1,2026-07-10,로봇청소기 CleanBot,가전
"품질이 예전 같지 않네요. 마감이 거칠고 나사가 하나 빠져 있었습니다.",1,2026-07-11,스탠딩 데스크 프로,가구
"첫 사용에 칼날이 헛돕니다. 명백한 불량인데 교환도 오래 걸린다고 하네요.",1,2026-07-11,휴대용 블렌더 미니,주방
"충전이 안 되는 불량품을 받았습니다. 검수를 하긴 하는 건가요.",1,2026-07-12,스마트워치 FitPro,웨어러블
"소리가 한쪽에서만 납니다. 두 번째 불량이라 신뢰가 떨어집니다.",1,2026-07-12,무선 이어폰 X200,전자기기
"가격 대비 성능이 실망스럽습니다. 광고 문구를 믿지 마세요.",2,2026-07-13,로봇청소기 CleanBot,가전
"배송 지연에 불량까지 겹쳤습니다. 환불 요청했습니다.",1,2026-07-13,휴대용 블렌더 미니,주방
"포장 상태가 엉망이라 선물용으로는 절대 추천 못 합니다.",2,2026-07-14,스마트워치 FitPro,웨어러블
"기다린 시간에 비해 만족도가 낮습니다. 배송만 빨랐어도 별 셋은 줬을 거예요.",2,2026-07-14,스탠딩 데스크 프로,가구
"그래도 성능 자체는 괜찮습니다. 배송만 개선되면 좋겠어요.",3,2026-07-15,로봇청소기 CleanBot,가전
"제품은 마음에 드는데 오는 데 너무 오래 걸렸습니다.",3,2026-07-15,무선 이어폰 X200,전자기기
"교환받은 제품은 정상입니다. 처리는 늦었지만 해결은 됐어요.",3,2026-07-15,스마트워치 FitPro,웨어러블
"Battery life is amazing, easily lasts three days on a single charge.",5,2026-06-12,스마트워치 FitPro,웨어러블
"Sound quality is excellent for the price. Bass is surprisingly deep.",5,2026-06-19,무선 이어폰 X200,전자기기
"The app keeps disconnecting from the device. Very frustrating.",2,2026-06-26,로봇청소기 CleanBot,가전
"Assembly took longer than expected but the desk feels very sturdy.",4,2026-07-02,스탠딩 데스크 프로,가구
"Shipping took over a week and there was zero communication from support.",1,2026-07-09,휴대용 블렌더 미니,주방
"Customer service never replied to my email about the defective unit.",1,2026-07-12,무선 이어폰 X200,전자기기
"Compact and easy to clean. Perfect for my morning smoothies.",5,2026-06-07,휴대용 블렌더 미니,주방
"It works fine but nothing special. Average product overall.",3,2026-06-23,스마트워치 FitPro,웨어러블
"<p>화면 보호 필름이 <b>기포 없이</b> 잘 붙었습니다.</p>",4,2026-06-11,스마트워치 FitPro,웨어러블
"   음질도   좋고    배송도    빨랐습니다.   ",5,2026-06-05,무선 이어폰 X200,전자기기
"좋아요",5,2026-06-13,무선 이어폰 X200,전자기기
"굿",5,2026-06-20,로봇청소기 CleanBot,가전
"별로",1,2026-07-05,휴대용 블렌더 미니,주방
"배송이 하루 만에 왔어요. 포장도 꼼꼼하고 제품 상태도 완벽합니다. 재구매 의사 있습니다.",5,2026-06-01,무선 이어폰 X200,전자기기
"흡입력이 생각보다 강해서 놀랐습니다. 원룸 청소가 10분이면 끝나요.",5,2026-06-03,로봇청소기 CleanBot,가전
"고객센터에 5번 전화했는데 전부 대기 후 끊겼습니다. 응대가 최악이에요.",1,2026-07-09,무선 이어폰 X200,전자기기
"높이 조절이 부드럽고 흔들림이 없어요. 재택근무 만족도가 확 올라갔습니다.",5,2026-06-05,스탠딩 데스크 프로,가구
"별점 정보가 잘못 들어간 리뷰입니다. 제품 자체는 평범했습니다.",7,2026-06-18,무선 이어폰 X200,전자기기
"별점이 0으로 기록된 리뷰입니다. 사용에는 문제 없었습니다.",0,2026-06-24,로봇청소기 CleanBot,가전
"별점 없이 등록된 리뷰입니다. 배송은 빨랐고 제품도 괜찮았습니다.",,2026-06-30,스탠딩 데스크 프로,가구
"작성일이 비어 있는 리뷰입니다. 성능은 무난한 편입니다.",4,,휴대용 블렌더 미니,주방
"제품명이 비어 있는 리뷰입니다. 전반적으로 만족하며 쓰고 있습니다.",4,2026-07-04,,
